70,80,-20,-70,60,-20
70,80,-20,-70,60,-20
-70,60,-20,-70,-60,-20
-70,-60,-20,70,-80,-20
70,-80,-20,70,80,-20
70,80,-20,70,80,20
70,80,20,-70,60,20
-70,60,20,-70,-60,20
-70,-60,20,70,-80,20
70,-80,20,70,80,20
-70,60,-20,-70,60,20
-70,-60,-20,-70,-60,20
70,-80,-20,70,-80,20
50,40,0,0,55,0
0,55,0,-50,27,0
-50,27,0,-50,-27,0
-50,-27,0,0,-55,0
0,-55,0,50,-40,0
50,-40,0,38,-17,0
38,-17,0,17,-20,0
17,-20,0,-5,-7,0
-5,-7,0,-5,7,0
-5,7,0,17,20,0
17,20,0,38,17,0
38,17,0,50,40,0
0,0,0,0,0,0

